,kata,vector
217,pribadi,2.4824181e-05
218,bwrkunjung,1.8127077e-05
219,keren,-4.016674e-05
220,destinasi,-9.605831e-05
221,tiket,-3.9612427e-05
222,masuk,-0.0001161102
223,kuliner,-4.0266747e-05
224,murah,-2.3442924e-05
225,bangeeet,4.1650776e-05
226,tempat,-3.260219e-05
227,oke,-5.8010322e-05
228,pencil,1.6688164e-05
229,mudah,-0.00012734455
230,jangkau,-5.8679994e-05
231,sederhana,-2.1908916e-06
232,natural,-2.0897754e-05
233,exotic,-1.4353243e-05
234,super,-2.7824904e-05
235,keren,-4.016674e-05
236,twmpat,3.0567633e-06
237,air,-0.00020020771
238,terjun,-0.00017454562
239,langsung,-8.093102e-05
240,laut,-0.00017746219
241,lepas,-2.954382e-05
242,masuk,-0.0001161102
243,gratis,-7.2794246e-05
244,cma,6.8797394e-06
245,bayar,-6.0662645e-05
246,uang,5.0243866e-06
247,parkir,-0.000118844
248,motor,-8.319676e-05
249,air,-0.00020020771
250,terjun,-0.00017454562
251,padu,-2.5825128e-05
252,laut,-0.00017746219
253,jangkau,-5.8679994e-05
254,jebur,8.422285e-06
255,sana,-6.238465e-05
256,awat,-5.6362253e-05
257,bagus,-0.00011133886
258,sengkok,-2.9007611e-05
259,oreng,4.2766865e-06
260,ketapang,-8.2815735e-05
261,cong,-3.3564213e-06
262,dus,-2.9359206e-05
263,nodusih,1.9828327e-05
264,rekomendasi,-0.0001078243
265,perfect,-4.339707e-06
266,place,-0.00013720438
267,for,-0.00013478086
268,photoshooting,-2.9722546e-06
269,any,-2.4366658e-05
270,surreal,-2.8405275e-05
271,themes,-8.888038e-06
272,air,-0.00020020771
273,terjun,-0.00017454562
274,toro,-6.304506e-05
275,air,-0.00020020771
276,terjun,-0.00017454562
277,langsung,-8.093102e-05
278,temu,1.5446825e-05
279,pantai,-0.00012732984
280,anda,9.221132e-06
281,tambang,-7.951272e-06
282,pasir,-2.1483756e-05
283,pantai,-0.00012732984
284,toro,-6.304506e-05
285,airterjun,1.1472715e-05
286,pariwisata,8.542103e-06
287,bagus,-0.00011133886
288,pulau,-8.983469e-05
289,madura,-0.00012651196
290,sayang,-9.006186e-05
291,air,-0.00020020771
292,terjun,-0.00017454562
293,pantai,-0.00012732984
294,habis,-4.2906468e-05
295,pasir,-2.1483756e-05
296,sd,-1.4949087e-05
297,aku,-1.19145825e-05
298,pantai,-0.00012732984
299,toro,-6.304506e-05
300,bagus,-0.00011133886
301,joss,-7.476582e-06
302,cantik,-3.9807714e-05
303,eksotis,-6.9889097e-06
304,air,-0.00020020771
305,terjun,-0.00017454562
306,air,-0.00020020771
307,tawar,-1.4509003e-05
308,langsung,-8.093102e-05
309,depan,-9.79656e-06
310,ombak,5.9948134e-06
311,pantai,-0.00012732984
312,bagus,-0.00011133886
313,tempa,-3.397642e-05
314,banjiiir,-5.1026345e-05
315,sediiih,1.008595e-05
316,bagus,-0.00011133886
317,ngeri,-1.32843425e-05
318,saran,-4.6771733e-05
319,sore,-6.133221e-05
320,musim,-6.907945e-05
321,hujan,-7.706003e-05
322,sunset,-0.00015195877
323,air,-0.00020020771
324,terjun,-0.00017454562
325,pantai,-0.00012732984
326,takjub,-5.6497134e-05
327,know,1.6346248e-06
328,desa,-3.4517925e-06
329,penuh,6.4962896e-06
330,certa,-2.077303e-05
331,bagus,-0.00011133886
332,nyaman,-5.1929102e-05
333,enak,-5.2772426e-05
334,bagus,-0.00011133886
335,air,-0.00020020771
336,terjun,-0.00017454562
337,langsung,-8.093102e-05
338,pantai,-0.00012732984
339,poles,-2.5056042e-05
340,kasih,-2.819442e-05
341,spot,-7.39493e-05
342,ambil,-3.8976996e-05
343,foto,-6.582436e-05
344,bagus,-0.00011133886
345,tempat,-3.260219e-05
346,asyik,-2.2442777e-05
347,alami,-4.2822077e-05
348,akses,-6.482749e-05
349,masuk,-0.0001161102
350,mudah,-0.00012734455
351,pinggir,-0.000114771996
352,jalan,-0.00012294568
353,tlg,-1.6857906e-05
354,hati,-0.00010181013
355,hati,-0.00010181013
356,bawa,-3.6516907e-05
357,lansia,-4.2245923e-05
358,turun,-7.3778734e-05
359,kuliner,-4.0266747e-05
360,mantap,-3.4522665e-05
361,bersih,-0.00010601336
362,tenang,-5.7069006e-05
363,mudah,-0.00012734455
364,jangkau,-5.8679994e-05
365,awat,-5.6362253e-05
366,bagus,-0.00011133886
367,sampah,-7.9229925e-05
368,mana,-3.5563414e-07
369,huhu,1.9713922e-05
370,kecewa,-1.3857033e-05
371,opening,6.8360964e-06
372,sampah,-7.9229925e-05
373,sera,7.633861e-06
374,bagus,-0.00011133886
375,beri,-1.7971108e-05
376,kenang,-5.185484e-06
377,indah,-9.057975e-05
378,lupa,-4.660272e-06
379,mantap,-3.4522665e-05
380,bagus,-0.00011133886
381,gratis,-7.2794246e-05
382,pandang,-9.551442e-05
383,bagus,-0.00011133886
384,madu,-2.428831e-06
385,air,-0.00020020771
386,terjun,-0.00017454562
387,laut,-0.00017746219
388,harga,-4.58518e-05
389,tiket,-3.9612427e-05
390,masuk,-0.0001161102
391,murah,-2.3442924e-05
392,awat,-5.6362253e-05
393,kembang,-8.7409135e-06
394,sampah,-7.9229925e-05
395,harga,-4.58518e-05
396,parkir,-0.000118844
397,mahal,-2.9375908e-05
398,ukur,-1.0486436e-05
399,wisata,-8.929305e-05
400,obyek,-5.68549e-05
401,motor,-8.319676e-05
402,r,1.1372348e-05
403,sila,7.3435335e-06
404,lupa,-4.660272e-06
405,suka,-6.9168134e-05
406,lokasi,-6.4654654e-05
407,wisata,-8.929305e-05
408,perawan,2.9193141e-05
409,sentuh,-5.0335868e-05
410,seniman,1.1619833e-06
411,depan,-9.79656e-06
412,bagus,-0.00011133886
413,mudah,-0.00012734455
414,jangkau,-5.8679994e-05
415,bersih,-0.00010601336
416,nyaman,-5.1929102e-05
417,pandang,-9.551442e-05
418,indah,-9.057975e-05
419,adem,-1.963784e-05
420,suasanyanya,-1.1790424e-05
421,pinggir,-0.000114771996
422,laut,-0.00017746219
423,cuman,-7.4385666e-06
424,air,-0.00020020771
425,terjunya,8.1548005e-06
426,musim,-6.907945e-05
427,hujan,-7.706003e-05
428,mantap,-3.4522665e-05
429,viewnya,-1.1129305e-06
430,bagus,-0.00011133886
431,banget,-7.6723794e-05
432,asri,-5.911584e-06
433,air,-0.00020020771
434,terjun,-0.00017454562
435,langsung,-8.093102e-05
436,pantai,-0.00012732984
437,air,-0.00020020771
438,terjun,-0.00017454562
439,toro,-6.304506e-05
440,tepi,-8.0951424e-05
441,jalan,-0.00012294568
442,raya,-5.1136707e-05
443,akses,-6.482749e-05
444,kesana,-9.384369e-05
445,mudah,-0.00012734455
446,cepat,-1.3755181e-05
447,turun,-7.3778734e-05
448,langsung,-8.093102e-05
449,air,-0.00020020771
450,terjun,-0.00017454562
451,tepi,-8.0951424e-05
452,pantai,-0.00012732984
453,suasana,-4.5561923e-05
454,nyaman,-5.1929102e-05
455,dingin,-9.352229e-06
456,mini,-1.8126211e-05
457,waterfall,-0.00022243267
458,north,-1.746571e-05
459,madura,-0.00012651196
460,island,-5.0896833e-05
461,takjub,-5.6497134e-05
462,place,-0.00013720438
463,for,-0.00013478086
464,landscape,-1.6699225e-05
465,lover,8.771479e-06
466,temapat,3.8011726e-06
467,enak,-5.2772426e-05
468,aman,-1.5504731e-05
469,mantap,-3.4522665e-05
470,bagus,-0.00011133886
471,ber,2.1271897e-05
472,wisata,-8.929305e-05
473,indah,-9.057975e-05
474,keren,-4.016674e-05
475,butuh,-4.885669e-05
476,bersih,-0.00010601336
477,area,-0.00013213312
478,nonton,-3.553723e-05
479,air,-0.00020020771
480,terjun,-0.00017454562
481,air,-0.00020020771
482,tumbuh,-6.8585678e-06
483,angker,2.4864999e-06
484,water,-0.0001261116
485,fresh,-3.9166924e-05
486,tempat,-3.260219e-05
487,kelola,-4.9876984e-05
488,moga,-5.235997e-05
489,melipir,1.5896116e-05
490,air,-0.00020020771
491,terjun,-0.00017454562
492,toro,-6.304506e-05
493,salah,-4.905699e-05
494,air,-0.00020020771
495,terjun,-0.00017454562
496,indah,-9.057975e-05
497,madura,-0.00012651196
498,unik,-2.4015704e-05
499,air,-0.00020020771
500,terjun,-0.00017454562
501,langsung,-8.093102e-05
502,alir,-1.3576206e-05
503,laut,-0.00017746219
504,utara,-6.2090294e-05
505,jawa,-5.0192008e-05
506,sunset,-0.00015195877
507,pantai,-0.00012732984
508,identik,-4.8427196e-06
509,pasir,-2.1483756e-05
510,toro,-6.304506e-05
511,lumayan,-4.1320374e-05
512,bersih,-0.00010601336
513,nyaman,-5.1929102e-05
514,destinasi,-9.605831e-05
515,wisata,-8.929305e-05
516,air,-0.00020020771
517,terjun,-0.00017454562
518,langsung,-8.093102e-05
519,laut,-0.00017746219
520,lokasi,-6.4654654e-05
521,tarik,-7.814775e-05
522,rekomendasi,-0.0001078243
523,banget,-7.6723794e-05
524,cinta,-2.2934228e-05
525,kembang,-8.7409135e-06
526,mnjadi,-2.8514012e-05
527,wisata,-8.929305e-05
528,muda,-1.7627775e-06
529,mud,8.368534e-07
530,air,-0.00020020771
531,terjun,-0.00017454562
532,bagus,-0.00011133886
533,spot,-7.39493e-05
534,foto,-6.582436e-05
535,keren,-4.016674e-05
536,lumayan,-4.1320374e-05
537,bagus,-0.00011133886
538,cocok,-7.0398775e-05
539,istirahat,-2.3759663e-05
540,ngopi,2.1508085e-05
541,tempat,-3.260219e-05
542,indah,-9.057975e-05
543,untu,-3.178705e-05
544,selfi,-3.7107053e-05
545,air,-0.00020020771
546,terjun,-0.00017454562
547,toro,-6.304506e-05
548,ketapang,-8.2815735e-05
549,sampang,-0.00016301368
550,madura,-0.00012651196
551,bagus,-0.00011133886
552,banget,-7.6723794e-05
553,pandang,-9.551442e-05
554,fasilitas,-1.6488188e-05
555,parkir,-0.000118844
556,oke,-5.8010322e-05
557,air,-0.00020020771
558,kotor,-7.736593e-05
559,logistik,1.6693342e-06
560,alami,-4.2822077e-05
561,indah,-9.057975e-05
562,jam,-3.2578508e-05
563,surabaya,-4.3573305e-05
564,leat,3.345557e-06
565,jalur,-7.1703274e-05
566,pantura,-5.3062828e-05
567,madura,-0.00012651196
568,jalan,-0.00012294568
569,aspal,-1.6945733e-05
570,halus,9.833986e-06
571,bagus,-0.00011133886
572,bagus,-0.00011133886
573,renang,-3.7193233e-05
574,mandi,-7.88262e-05
575,sana,-6.238465e-05
576,bahaya,-3.179373e-05
577,foto,-6.582436e-05
578,foto,-6.582436e-05
579,bagus,-0.00011133886
580,cafe,-2.1533366e-05
581,musholla,-1.6286236e-05
582,kamar,-4.486246e-06
583,mandi,-7.88262e-05
584,parkir,-0.000118844
585,salah,-4.905699e-05
586,icon,-3.05573e-05
587,wisata,-8.929305e-05
588,ketapang,-8.2815735e-05
589,sampang,-0.00016301368
590,tempat,-3.260219e-05
591,nyaman,-5.1929102e-05
592,santa,-5.9811314e-06
593,laut,-0.00017746219
594,pasang,-3.6045552e-05
595,foto,-6.582436e-05
596,bagus,-0.00011133886
597,banget,-7.6723794e-05
598,suka,-6.9168134e-05
599,libur,-5.0814895e-05
600,madura,-0.00012651196
601,bareng,-2.3908262e-05
602,tempat,-3.260219e-05
603,bagus,-0.00011133886
604,air,-0.00020020771
605,dingin,-9.352229e-06
606,seger,3.6209747e-06
607,banget,-7.6723794e-05
608,indah,-9.057975e-05
609,satu,-6.9944085e-06
610,air,-0.00020020771
611,terjun,-0.00017454562
612,kabupaten,-7.2721996e-05
613,sampang,-0.00016301368
614,pulau,-8.983469e-05
615,madura,-0.00012651196
616,parkir,-0.000118844
617,buka,-4.034278e-05
618,pagi,-4.340327e-05
619,sore,-6.133221e-05
620,diri,7.8668245e-06
621,tenda,-1.02881495e-05
622,spot,-7.39493e-05
623,sunset,-0.00015195877
624,jual,1.07819815e-05
625,makan,-0.00011043447
626,sana,-6.238465e-05
627,kelola,-4.9876984e-05
628,gratis,-7.2794246e-05
629,kelola,-4.9876984e-05
630,cafe,-2.1533366e-05
631,toilet,-9.865809e-05
632,parkir,-0.000118844
633,mushola,-3.2814896e-05
634,bagus,-0.00011133886
635,view,-9.9871875e-05
636,sanggup,-1.2857882e-05
637,naek,1.4173523e-06
638,turun,-7.3778734e-05
639,tangga,2.0136189e-05
640,diexplore,9.353598e-06
641,banget,-7.6723794e-05
642,letak,-1.2918457e-05
643,jalur,-7.1703274e-05
644,utara,-6.2090294e-05
645,madura,-0.00012651196
646,banget,-7.6723794e-05
647,sepi,1.8102757e-05
648,tempat,-3.260219e-05
649,suasana,-4.5561923e-05
650,bagus,-0.00011133886
651,bbrapa,-1.0061133e-05
652,spot,-7.39493e-05
653,awat,-5.6362253e-05
654,toilet,-9.865809e-05
655,teliti,4.908325e-06
656,senang,-3.832697e-05
657,air,-0.00020020771
658,terjun,-0.00017454562
659,langsung,-8.093102e-05
660,jatuh,-5.099299e-05
661,pantai,-0.00012732984
662,oke,-5.8010322e-05
663,water,-0.0001261116
664,falling,3.7704223e-07
665,into,-6.982945e-05
666,sea,-0.00014120193
667,that,-2.5062409e-05
668,cool,-4.6131478e-05
669,would,-3.289991e-05
670,better,-1.1196271e-05
671,swimming,-1.8654067e-05
672,area,-0.00013213312
673,instead,-3.2595173e-07
674,of,-0.00015270713
675,selfie,-1.127138e-05
676,point,-1.5591902e-05
677,but,-0.00016146262
678,for,-0.00013478086
679,area,-0.00013213312
680,oke,-5.8010322e-05
681,henti,-2.9288669e-05
682,check,-1.7160586e-05
683,for,-0.00013478086
684,mins,-6.5288555e-06
685,akses,-6.482749e-05
686,mudah,-0.00012734455
687,lokasi,-6.4654654e-05
688,pinggir,-0.000114771996
689,jln,-1.9952824e-05
690,oke,-5.8010322e-05
691,for,-0.00013478086
692,bagus,-0.00011133886
693,henti,-2.9288669e-05
694,even,-2.6321395e-05
695,for,-0.00013478086
696,tasty,-5.5080045e-07
697,meal,-1.8114999e-05
698,bagus,-0.00011133886
699,duga,1.0105754e-06
700,bagus,-0.00011133886
701,place,-0.00013720438
702,lokasi,-6.4654654e-05
703,pinggir,-0.000114771996
704,jalan,-0.00012294568
705,gampang,-8.82892e-06
706,cari,1.560675e-06
707,singgah,-7.449411e-06
708,bentar,2.3735142e-06
709,nikmat,-7.232363e-05
710,suasana,-4.5561923e-05
711,air,-0.00020020771
712,terjun,-0.00017454562
713,jatuh,-5.099299e-05
714,tepi,-8.0951424e-05
715,pantai,-0.00012732984
716,kecewa,-1.3857033e-05
717,seru,1.00876105e-05
718,banget,-7.6723794e-05
719,picu,-1.6257487e-05
720,adrenaline,-3.4284471e-06
721,ambil,-3.8976996e-05
722,gambar,-6.427788e-05
723,dr,-3.6619957e-05
724,air,-0.00020020771
725,terjun,-0.00017454562
726,lokasi,-6.4654654e-05
727,lumayan,-4.1320374e-05
728,indah,-9.057975e-05
729,sayang,-9.006186e-05
730,banjir,1.5290105e-05
731,gada,-2.4331563e-05
732,seru,1.00876105e-05
733,bagus,-0.00011133886
734,air,-0.00020020771
735,terjun,-0.00017454562
736,langsung,-8.093102e-05
737,laut,-0.00017746219
738,air,-0.00020020771
739,terjun,-0.00017454562
740,toro,-6.304506e-05
741,kct,-1.7853275e-05
742,ketapang,-8.2815735e-05
743,kbt,-2.3883576e-05
744,sampang,-0.00016301368
745,madura,-0.00012651196
746,bagus,-0.00011133886
747,kunjung,-5.6902878e-05
748,turns,1.0270616e-06
749,jagat,8.938591e-06
750,raya,-5.1136707e-05
751,att,-4.3340257e-05
752,air,-0.00020020771
753,satu,-6.9944085e-06
754,air,-0.00020020771
755,laut,-0.00017746219
756,samudera,-8.0255795e-08
757,air,-0.00020020771
758,indah,-9.057975e-05
759,jelang,-3.5494156e-06
760,matahari,-4.4312397e-05
761,benam,-1.3993457e-05
762,air,-0.00020020771
763,terjun,-0.00017454562
764,unik,-2.4015704e-05
765,alir,-1.3576206e-05
766,air,-0.00020020771
767,langsung,-8.093102e-05
768,laut,-0.00017746219
769,wisata,-8.929305e-05
770,air,-0.00020020771
771,terjun,-0.00017454562
772,nikmat,-7.232363e-05
773,pantai,-0.00012732984
774,nilai,9.648825e-06
775,air,-0.00020020771
776,terjun,-0.00017454562
777,letak,-1.2918457e-05
778,jalan,-0.00012294568
779,raya,-5.1136707e-05
780,wisata,-8.929305e-05
781,alam,-5.6761175e-05
782,kelola,-4.9876984e-05
783,alami,-4.2822077e-05
784,warga,-7.8599105e-06
785,lokasi,-6.4654654e-05
786,pinggir,-0.000114771996
787,jalan,-0.00012294568
788,pentunjuk,-2.274336e-05
789,mudah,-0.00012734455
790,air,-0.00020020771
791,terjun,-0.00017454562
792,langsung,-8.093102e-05
793,laut,-0.00017746219
794,foto,-6.582436e-05
795,turun,-7.3778734e-05
796,pinggir,-0.000114771996
797,laut,-0.00017746219
798,excellent,-1.738795e-05
799,view,-9.9871875e-05
800,sea,-0.00014120193
801,front,1.8756251e-05
802,baik,-4.3208525e-05
803,sunrise,-1.3954916e-05
804,sunset,-0.00015195877
805,puas,-2.6065964e-05
806,view,-9.9871875e-05
807,kalah,8.175934e-06
808,bal,-5.436461e-06
809,bagus,-0.00011133886
810,tok,-1.5399377e-05
811,indah,-9.057975e-05
812,luas,-5.563993e-05
813,laut,-0.00017746219
814,kuliner,-4.0266747e-05
815,ikan,-5.464028e-05
816,leseh,-5.249016e-05
817,mantap,-3.4522665e-05
818,enak,-5.2772426e-05
819,bukber,-4.676886e-06
820,mantap,-3.4522665e-05
821,tempat,-3.260219e-05
822,walopun,-1.4802381e-06
823,prjlnn,-1.07525175e-05
824,sgt,-2.5955032e-05
825,tmpat,5.3358264e-08
826,kunjung,-5.6902878e-05
827,pesona,-4.8419097e-05
828,air,-0.00020020771
829,terjun,-0.00017454562
830,toro,-6.304506e-05
831,langsung,-8.093102e-05
832,laut,-0.00017746219
833,pokok,-2.614949e-05
834,karunia,-1.6739054e-05
835,allah,-1.7902908e-05
836,luat,5.7331495e-06
837,sempurna,2.2534701e-05
838,sejuk,-6.643778e-05
839,alami,-4.2822077e-05
840,tarik,-7.814775e-05
841,senang,-3.832697e-05
842,makan,-0.00011043447
843,leseh,-5.249016e-05
844,istirahat,-2.3759663e-05
845,isi,-2.0387011e-05
846,perut,-6.42586e-06
847,dg,-3.8159164e-05
848,pandang,-9.551442e-05
849,pantai,-0.00012732984
850,place,-0.00013720438
851,beautiful,-9.086469e-05
852,convenience,-2.098493e-05
853,musim,-6.907945e-05
854,hujan,-7.706003e-05
855,bagus,-0.00011133886
856,air,-0.00020020771
857,jerni,-1.0630181e-05
858,panorama,-4.606778e-05
859,air,-0.00020020771
860,terjun,-0.00017454562
861,langsung,-8.093102e-05
862,laut,-0.00017746219
863,takjub,-5.6497134e-05
864,foto,-6.582436e-05
865,ria,1.588963e-06
866,hati,-0.00010181013
867,musim,-6.907945e-05
868,hujan,-7.706003e-05
869,batu,-8.811243e-08
870,licin,-2.5473702e-05
871,bagus,-0.00011133886
872,nyamuk,1.4342682e-05
873,parkir,-0.000118844
874,luas,-5.563993e-05
875,air,-0.00020020771
876,terjun,-0.00017454562
877,alami,-4.2822077e-05
878,libur,-5.0814895e-05
879,senang,-3.832697e-05
880,pasang,-3.6045552e-05
881,meikmati,-1.8916407e-05
882,air,-0.00020020771
883,terjun,-0.00017454562
884,indah,-9.057975e-05
885,lumayan,-4.1320374e-05
886,habis,-4.2906468e-05
887,bebek,3.0886615e-06
888,sinjai,-1.8423401e-05
889,jalan,-0.00012294568
890,moga,-5.235997e-05
891,kembang,-8.7409135e-06
892,cocok,-7.0398775e-05
893,ngadem,-2.7008495e-05
894,senang,-3.832697e-05
895,teman,-5.7076104e-06
896,sana,-6.238465e-05
897,cakep,-1.1014141e-05
898,banget,-7.6723794e-05
899,sore,-6.133221e-05
900,pandang,-9.551442e-05
901,dukung,-6.103718e-05
902,ken,1.950955e-05
903,air,-0.00020020771
904,terjun,-0.00017454562
905,gc,-1.8563485e-06
906,tau,-4.1956864e-06
907,air,-0.00020020771
908,terjun,-0.00017454562
909,indah,-9.057975e-05
910,bagus,-0.00011133886
911,kunjung,-5.6902878e-05
912,wisata,-8.929305e-05
913,air,-0.00020020771
914,terjun,-0.00017454562
915,tepi,-8.0951424e-05
916,pantai,-0.00012732984
917,sejuk,-6.643778e-05
918,siang,4.669343e-06
919,suasana,-4.5561923e-05
920,sejuk,-6.643778e-05
921,enak,-5.2772426e-05
922,pentol,1.0320632e-05
923,visit,-5.872008e-05
924,madura,-0.00012651196
925,arrived,-3.191198e-05
926,here,-9.064691e-05
927,quite,-6.914641e-05
928,bagus,-0.00011133886
929,place,-0.00013720438
930,but,-0.00016146262
931,access,-4.7599577e-05
932,go,-7.0412636e-05
933,bit,-4.5710072e-05
934,hard,-4.9801238e-05
935,bc,-2.94087e-05
936,we,-2.1102547e-05
937,stepped,-2.3279452e-05
938,hidup,-8.162638e-05
939,root,1.9553603e-05
940,tampil,2.4517817e-06
941,tarik,-7.814775e-05
942,gambar,-6.427788e-05
943,indah,-9.057975e-05
944,olah,-4.4087254e-05
945,gambar,-6.427788e-05
946,imajinasi,-2.2340206e-05
947,butuh,-4.885669e-05
948,cafe,-2.1533366e-05
949,nikmat,-7.232363e-05
950,milir,-3.0431438e-05
951,angin,1.464704e-05
952,laut,-0.00017746219
953,indah,-9.057975e-05
954,indah,-9.057975e-05
955,dari,-2.9073385e-06
956,tuhan,-7.2654943e-06
